,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,gross_profit,ROI (%)
324,18400000,"['Action', 'Crime', 'Comedy']",522627,tt8367814,41.632,2020-01-01,48441089,113.0,The Gentlemen,7.9,359,30041089.0,163.26678804347824
325,13000000,['Drama'],7984,tt0107207,11.511,1993-12-12,65796862,133.0,In the Name of the Father,7.9,865,52796862.0,406.12970769230765
327,40000000,"['Mystery', 'Thriller', 'Drama']",745,tt0167404,16.618,1999-08-06,672806292,107.0,The Sixth Sense,7.9,7068,632806292.0,1582.01573
329,52000000,"['Drama', 'Crime']",640,tt0264464,15.388,2002-12-25,352114312,141.0,Catch Me If You Can,7.9,8510,300114312.0,577.1429076923077
330,6600000,['Drama'],451945,tt6135348,8.406,2017-08-23,7632420,135.0,BPM (Beats per Minute),7.9,875,1032420.0,15.642727272727273
333,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",14160,tt1049413,35.914,2009-05-28,735099082,96.0,Up,7.9,13665,560099082.0,320.0566182857143
334,1000000,"['Adventure', 'Animation', 'Fantasy']",81,tt0087544,24.86,1984-03-11,3301446,117.0,Nausicaä of the Valley of the Wind,7.9,1666,2301446.0,230.1446
337,10000000,"['Comedy', 'Romance']",194,tt0211915,17.329,2001-04-25,173921954,122.0,Amélie,7.9,7085,163921954.0,1639.2195399999998
338,4000000,"['Drama', 'Romance', 'War']",770,tt0031381,17.628,1939-12-15,400176459,233.0,Gone with the Wind,7.9,2053,396176459.0,9904.411475
339,13000000,"['Action', 'Comedy', 'Drama']",348892,tt3863552,7.584,2015-07-17,150000000,159.0,Bajrangi Bhaijaan,7.9,258,137000000.0,1053.8461538461538
342,25000000,"['Crime', 'Drama', 'Thriller']",6977,tt0477348,18.963,2007-11-08,171627166,122.0,No Country for Old Men,7.9,6762,146627166.0,586.5086640000001
345,55000000,['Drama'],1402,tt0454921,18.331,2006-12-14,307077295,117.0,The Pursuit of Happyness,7.9,5931,252077295.0,458.3223545454546
346,90000000,"['Animation', 'Family', 'Adventure']",10674,tt0120762,22.506999999999998,1998-06-18,304320254,88.0,Mulan,7.9,5527,214320254.0,238.13361555555556
347,325000,"['Comedy', 'Romance']",3078,tt0025316,9.649,1934-02-22,4500000,105.0,It Happened One Night,7.9,576,4175000.0,1284.6153846153848
348,61000000,"['Mystery', 'Thriller', 'Drama']",210577,tt2267998,37.411,2014-10-01,369330363,149.0,Gone Girl,7.9,11827,308330363.0,505.4596114754099
349,72000000,"['Action', 'Drama', 'History', 'War']",197,tt0112573,18.429000000000002,1995-05-24,210000000,178.0,Braveheart,7.9,6157,138000000.0,191.66666666666669
350,200000,['Western'],391,tt0058461,15.654000000000002,1964-09-12,14500000,99.0,A Fistful of Dollars,7.9,2155,14300000.0,7150.0
352,8000000,"['Crime', 'Drama']",235,tt0092005,16.69,1986-08-08,52287414,89.0,Stand by Me,7.9,3262,44287414.0,553.592675
353,54000000,"['Action', 'Thriller', 'Fantasy']",752,tt0434409,20.76,2006-02-23,132511035,132.0,V for Vendetta,7.9,9127,78511035.0,145.39080555555554
354,15000000,"['Comedy', 'Crime']",115,tt0118715,19.857,1998-03-06,46189568,117.0,The Big Lebowski,7.9,6560,31189568.0,207.93045333333336
356,18000000,"['Adventure', 'Action']",85,tt0082971,24.784000000000002,1981-06-12,389925971,115.0,Raiders of the Lost Ark,7.9,7488,371925971.0,2066.2553944444444
357,2500000,"['Drama', 'Fantasy', 'Romance']",144,tt0093191,9.479,1987-05-17,3210139,128.0,Wings of Desire,7.9,569,710139.0,28.40556
359,2000000,"['Thriller', 'Drama', 'Romance']",303,tt0038787,12.245,1946-08-21,24464742,103.0,Notorious,7.9,775,22464742.0,1123.2371
360,3000000,"['Drama', 'History', 'War']",826,tt0050212,12.588,1957-10-02,44908000,161.0,The Bridge on the River Kwai,7.9,1061,41908000.0,1396.9333333333334
361,63000000,"['Adventure', 'Science Fiction']",329,tt0107290,15.945,1993-06-11,920100000,127.0,Jurassic Park,7.9,10130,857100000.0,1360.4761904761904
362,18500000,"['Action', 'Thriller', 'Science Fiction']",679,tt0090605,25.83,1986-07-18,183316455,137.0,Aliens,7.9,5675,164816455.0,890.8997567567567
364,30000000,"['Comedy', 'Drama', 'Romance', 'Music']",313369,tt3783958,29.753,2016-11-29,445435700,129.0,La La Land,7.9,11295,415435700.0,1384.7856666666667
366,23000000,"['Romance', 'Science Fiction', 'Drama']",152601,tt1798709,25.2,2013-12-18,47351251,126.0,Her,7.9,9056,24351251.0,105.87500434782609
369,62770198,"['Adventure', 'Comedy', 'Animation']",399174,tt5104604,16.009,2018-03-23,64207623,101.0,Isle of Dogs,7.9,2530,1437425.0,2.289980031606719
