,budget,genres,id,imdb_id,popularity,release_date,revenue,runtime,title,vote_average,vote_count,gross_profit,ROI (%),qty_of_genres,weighted_budget,weighted_ROI,release_year
3781,25000000,"['Horror', 'Comedy']",459202,tt6217804,10.455,2017-10-20,48333932,103.0,Boo 2! A Madea Halloween,5.6,368,23333932.0,93.34,2,12500000.0,46.67,2017
3782,80000000,"['Thriller', 'Action', 'Science Fiction']",8870,tt0199753,9.612,2000-11-10,33463969,106.0,Red Planet,5.6,528,-46536031.0,-58.17,3,26666666.67,-19.39,2000
3783,85000000,"['Action', 'Thriller', 'Drama']",9884,tt0233469,9.669,2002-02-06,78382433,108.0,Collateral Damage,5.6,758,-6617567.0,-7.79,3,28333333.33,-2.6,2002
3784,70000000,['Comedy'],2800,tt0398375,7.735,2005-12-22,88933562,97.0,Rumor Has It...,5.6,671,18933562.0,27.05,1,70000000.0,27.05,2005
3785,54000000,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",9327,tt0117218,14.875,1996-06-26,128769345,95.0,The Nutty Professor,5.6,1789,74769345.0,138.46,4,13500000.0,34.62,1996
3786,75000000,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",55301,tt1615918,14.114,2011-12-14,342695435,87.0,Alvin and the Chipmunks: Chipwrecked,5.6,1256,267695435.0,356.93,5,15000000.0,71.39,2011
3787,20000000,"['Comedy', 'Science Fiction']",12120,tt0095687,8.404,1988-12-09,13854000,108.0,My Stepmother is an Alien,5.6,271,-6146000.0,-30.73,2,10000000.0,-15.36,1988
3788,12500000,"['Thriller', 'Drama', 'Mystery']",82390,tt1496422,10.987,2012-09-14,1353868,107.0,The Paperboy,5.6,455,-11146132.0,-89.17,3,4166666.67,-29.72,2012
3789,3500000,['Comedy'],18896,tt1314237,4.488,2009-06-10,14751272,90.0,The French Kissers,5.6,236,11251272.0,321.46,1,3500000.0,321.46,2009
3790,80000000,"['Comedy', 'Family', 'Science Fiction']",9574,tt0119137,8.107000000000001,1997-11-26,177977226,93.0,Flubber,5.6,1432,97977226.0,122.47,3,26666666.67,40.82,1997
3791,60000000,"['Thriller', 'Action', 'Comedy', 'Science Fiction']",10771,tt0290095,11.605,2002-09-27,104391623,98.0,The Tuxedo,5.6,1074,44391623.0,73.99,4,15000000.0,18.5,2002
3792,47000000,"['Comedy', 'Drama']",9586,tt0099165,7.694,1990-12-21,15691192,125.0,The Bonfire of the Vanities,5.5,247,-31308808.0,-66.61,2,23500000.0,-33.3,1990
3793,4000000,"['Comedy', 'Horror']",184345,tt2828996,13.864,2014-04-17,25343661,87.0,A Haunted House 2,5.5,684,21343661.0,533.59,2,2000000.0,266.8,2014
3794,25000000,"['Animation', 'Comedy', 'Family', 'Fantasy']",14248,tt0465502,9.531,2008-09-19,30700000,87.0,Igor,5.5,289,5700000.0,22.8,4,6250000.0,5.7,2008
3795,2500000,"['Comedy', 'Horror']",139038,tt2243537,10.302,2013-01-11,60141683,86.0,A Haunted House,5.5,977,57641683.0,2305.67,2,1250000.0,1152.84,2013
3796,30000000,"['Action', 'Crime', 'Science Fiction', 'Thriller']",9271,tt0114857,7.54,1995-08-04,24048000,106.0,Virtuosity,5.5,281,-5952000.0,-19.84,4,7500000.0,-4.96,1995
3797,130000000,"['Science Fiction', 'Action', 'Thriller']",929,tt0120685,13.375,1998-05-20,379014294,139.0,Godzilla,5.5,2233,249014294.0,191.55,3,43333333.33,63.85,1998
3798,20000000,"['Comedy', 'Drama', 'Family', 'Music', 'Romance']",23367,tt0976222,7.836,2009-08-06,12225023,111.0,Bandslam,5.5,294,-7774977.0,-38.87,5,4000000.0,-7.77,2009
3799,25000000,"['Fantasy', 'Horror', 'Thriller']",46261,tt1270761,8.685,2010-11-06,36993168,99.0,Don't Be Afraid of the Dark,5.5,629,11993168.0,47.97,3,8333333.33,15.99,2010
3800,35000000,"['Action', 'Fantasy', 'Horror', 'Drama']",346672,tt3717252,18.642,2016-11-24,81093313,91.0,Underworld: Blood Wars,5.5,2497,46093313.0,131.7,4,8750000.0,32.92,2016
3801,17000000,['Comedy'],10402,tt0205000,9.338,1999-12-10,65535067,88.0,Deuce Bigalow: Male Gigolo,5.5,689,48535067.0,285.5,1,17000000.0,285.5,1999
3802,5000000,"['Horror', 'Thriller', 'War']",11569,tt0104409,8.23,1992-09-11,12534961,93.0,Hellraiser III: Hell on Earth,5.5,327,7534961.0,150.7,3,1666666.67,50.23,1992
3803,90000000,"['Comedy', 'Action']",10661,tt0960144,16.905,2008-06-05,201596308,113.0,You Don't Mess with the Zohan,5.5,2232,111596308.0,124.0,2,45000000.0,62.0,2008
3804,13000000,"['Comedy', 'Drama', 'Romance']",144340,tt1814621,8.013,2013-03-21,18637201,107.0,Admission,5.5,420,5637201.0,43.36,3,4333333.33,14.45,2013
3805,10500000,"['Drama', 'Thriller']",390051,tt4581576,10.280999999999999,2017-02-28,261465,92.0,Aftermath,5.5,428,-10238535.0,-97.51,2,5250000.0,-48.76,2017
3806,25000000,"['Action', 'Drama', 'Western']",174751,tt2140037,7.497000000000001,2015-12-31,1397284,98.0,Jane Got a Gun,5.5,481,-23602716.0,-94.41,3,8333333.33,-31.47,2015
3807,25000000,"['Comedy', 'Crime']",10723,tt0115783,7.88,1996-09-06,22611954,84.0,Bulletproof,5.5,283,-2388046.0,-9.55,2,12500000.0,-4.78,1996
3808,1500000,"['Action', 'Adventure', 'Thriller', 'War']",15379,tt0087727,8.105,1984-11-16,22812411,101.0,Missing in Action,5.5,217,21312411.0,1420.83,4,375000.0,355.21,1984
3809,80000000,"['Animation', 'Family', 'Adventure']",77951,tt1762399,9.237,2013-12-18,126546518,87.0,Walking with Dinosaurs,5.5,240,46546518.0,58.18,3,26666666.67,19.39,2013
